NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 30.409   Longitude 57.74 Kernam, Shahdad
Elevation (meters): Average for one degree lat/lon region = 1315   Site = na
Climate zone: 2 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1983 07 01    7.86
1983 07 02    7.63
1983 07 03    6.67
1983 07 04    6.64
1983 07 05    7.20
1983 07 06    7.32
1983 07 07    7.05
1983 07 08    7.05
1983 07 09    7.63
1983 07 10    7.42
1983 07 11    6.66
1983 07 12    7.37
1983 07 13    7.65
1983 07 14    7.82
1983 07 15    7.32
1983 07 16    6.68
1983 07 17    7.31
1983 07 18    6.90
1983 07 19    7.33
1983 07 20    7.30
1983 07 21    7.24
1983 07 22    6.35
1983 07 23    6.43
1983 07 24    6.49
1983 07 25    6.50
1983 07 26    7.06
1983 07 27    6.11
1983 07 28    6.18
1983 07 29    5.60
1983 07 30    6.39
1983 07 31    6.42
1983 08 01    7.40
1983 08 02    7.22
1983 08 03    7.36
1983 08 04    6.48
1983 08 05    6.95
1983 08 06    6.08
1983 08 07    6.11
1983 08 08    6.97
1983 08 09    6.02
1983 08 10    7.86
1983 08 11    7.25
1983 08 12    7.44
1983 08 13    7.28
1983 08 14    7.26
1983 08 15    6.98
1983 08 16    7.36
1983 08 17    5.92
1983 08 18    7.18
1983 08 19    6.71
1983 08 20    6.97
1983 08 21    7.50
1983 08 22    7.04
1983 08 23    6.95
1983 08 24    6.05
1983 08 25    6.44
1983 08 26    6.49
1983 08 27    5.87
1983 08 28    5.75
1983 08 29    5.50
1983 08 30    6.33
1983 08 31    6.04
1983 09 01    6.10
1983 09 02    5.82
1983 09 03    5.67
1983 09 04    5.66
1983 09 05    5.46
1983 09 06    6.17
1983 09 07    5.68
1983 09 08    5.96
1983 09 09    5.44
1983 09 10    5.94
1983 09 11    5.19
1983 09 12    4.55
1983 09 13    5.35
1983 09 14    5.12
1983 09 15    5.80
1983 09 16    5.63
1983 09 17    5.24
1983 09 18    5.63
1983 09 19    5.77
1983 09 20    5.08
1983 09 21    5.71
1983 09 22    5.82
1983 09 23    4.98
1983 09 24    5.56
1983 09 25    5.73
1983 09 26    5.73
1983 09 27    6.48
1983 09 28    5.54
1983 09 29    5.39
1983 09 30    5.46
1983 10 01    6.15
1983 10 02    6.19
1983 10 03    5.96
1983 10 04    6.32
1983 10 05    5.40
1983 10 06    5.32
1983 10 07    5.21
1983 10 08    5.08
1983 10 09    5.34
1983 10 10    5.08
1983 10 11    5.83
1983 10 12    5.60
1983 10 13    5.15
1983 10 14    5.49
1983 10 15    5.59
1983 10 16    4.95
1983 10 17    4.97
1983 10 18    4.81
1983 10 19    4.67
1983 10 20    4.82
1983 10 21    3.83
1983 10 22    5.29
1983 10 23    5.20
1983 10 24    4.33
1983 10 25    4.63
1983 10 26    4.30
1983 10 27    4.36
1983 10 28    4.32
1983 10 29    4.24
1983 10 30    4.23
1983 10 31    4.17
1983 11 01    4.93
1983 11 02    4.89
1983 11 03    4.75
1983 11 04    4.77
1983 11 05    4.28
1983 11 06    4.93
1983 11 07    4.61
1983 11 08    4.64
1983 11 09    4.49
1983 11 10    4.57
1983 11 11    4.04
1983 11 12    3.60
1983 11 13    3.78
1983 11 14    3.91
1983 11 15    3.80
1983 11 16    3.38
1983 11 17    4.06
1983 11 18    4.26
1983 11 19    4.13
1983 11 20    4.11
1983 11 21    3.91
1983 11 22    3.61
1983 11 23    3.91
1983 11 24    3.95
1983 11 25    3.93
1983 11 26    3.92
1983 11 27    3.77
1983 11 28    2.86
1983 11 29    2.19
1983 11 30    3.52
1983 12 01    3.85
1983 12 02    4.19
1983 12 03    3.93
1983 12 04    3.76
1983 12 05    3.21
1983 12 06    3.24
1983 12 07    3.70
1983 12 08    3.79
1983 12 09    2.66
1983 12 10    3.59
1983 12 11    3.60
1983 12 12    2.25
1983 12 13    3.66
1983 12 14    3.61
1983 12 15    3.71
1983 12 16    4.04
1983 12 17    2.73
1983 12 18    1.84
1983 12 19    1.69
1983 12 20    1.86
1983 12 21    2.32
1983 12 22    3.51
1983 12 23    3.58
1983 12 24    3.73
1983 12 25    4.03
1983 12 26    3.31
1983 12 27    2.29
1983 12 28    3.17
1983 12 29    4.00
1983 12 30    4.02
1983 12 31    3.98
1984 01 01    3.76
1984 01 02    2.39
1984 01 03    3.75
1984 01 04    3.81
1984 01 05    3.83
1984 01 06    2.95
1984 01 07    3.60
1984 01 08    3.20
1984 01 09    2.60
1984 01 10    2.85
1984 01 11    1.79
1984 01 12    3.34
1984 01 13    3.07
1984 01 14    3.06
1984 01 15    3.90
1984 01 16    4.01
1984 01 17    2.40
1984 01 18    4.20
1984 01 19    4.47
1984 01 20    1.79
1984 01 21    3.82
1984 01 22    4.03
1984 01 23    3.56
1984 01 24    4.08
1984 01 25    2.70
1984 01 26    4.50
1984 01 27    4.58
1984 01 28    4.34
1984 01 29    2.25
1984 01 30    3.67
1984 01 31    2.69
1984 02 01    3.68
1984 02 02    4.37
1984 02 03    4.55
1984 02 04    4.69
1984 02 05    3.22
1984 02 06    3.35
1984 02 07    4.51
1984 02 08    3.80
1984 02 09    4.71
1984 02 10    5.05
1984 02 11    5.06
1984 02 12    5.18
1984 02 13    3.76
1984 02 14    2.92
1984 02 15    3.62
1984 02 16    5.77
1984 02 17    5.36
1984 02 18    5.24
1984 02 19    5.75
1984 02 20    5.86
1984 02 21    5.60
1984 02 22    4.50
1984 02 23    3.47
1984 02 24    3.16
1984 02 25    2.82
1984 02 26    2.23
1984 02 27    3.71
1984 02 28    3.72
1984 02 29    5.13
1984 03 01    5.31
1984 03 02    4.89
1984 03 03    5.37
1984 03 04    5.50
1984 03 05    5.49
1984 03 06    5.51
1984 03 07    5.66
1984 03 08    4.77
1984 03 09    4.41
1984 03 10    4.27
1984 03 11    4.21
1984 03 12    3.66
1984 03 13    2.82
1984 03 14    2.91
1984 03 15    4.28
1984 03 16    3.41
1984 03 17    6.31
1984 03 18    2.57
1984 03 19    4.18
1984 03 20    3.48
1984 03 21    3.11
1984 03 22    4.67
1984 03 23    2.62
1984 03 24    5.72
1984 03 25    4.53
1984 03 26    3.33
1984 03 27    4.37
1984 03 28    4.08
1984 03 29    5.11
1984 03 30    2.70
1984 03 31    2.57
1984 04 01    5.09
1984 04 02    6.73
1984 04 03    6.68
1984 04 04    5.99
1984 04 05    7.16
1984 04 06    5.79
1984 04 07    6.04
1984 04 08    6.96
1984 04 09    5.47
1984 04 10    4.82
1984 04 11    3.51
1984 04 12    4.58
1984 04 13    5.45
1984 04 14    5.63
1984 04 15    5.71
1984 04 16    6.61
1984 04 17    4.31
1984 04 18    5.61
1984 04 19    7.22
1984 04 20    7.03
1984 04 21    6.47
1984 04 22    6.02
1984 04 23    7.15
1984 04 24    6.97
1984 04 25    5.90
1984 04 26    7.59
1984 04 27    6.45
1984 04 28    7.87
1984 04 29    6.30
1984 04 30    7.60
1984 05 01    7.75
1984 05 02    6.25
1984 05 03    7.01
1984 05 04    4.16
1984 05 05    3.19
1984 05 06    5.65
1984 05 07    7.11
1984 05 08    4.43
1984 05 09    5.63
1984 05 10    5.33
1984 05 11    6.64
1984 05 12    6.16
1984 05 13    7.36
1984 05 14    7.48
1984 05 15    6.53
1984 05 16    7.46
1984 05 17    5.74
1984 05 18    6.26
1984 05 19    6.83
1984 05 20    7.09
1984 05 21    6.17
1984 05 22    7.06
1984 05 23    7.09
1984 05 24    7.22
1984 05 25    7.05
1984 05 26    6.74
1984 05 27    7.33
1984 05 28    7.63
1984 05 29    6.69
1984 05 30    7.12
1984 05 31    6.95
1984 06 01    7.89
1984 06 02    7.50
1984 06 03    7.21
1984 06 04    6.64
1984 06 05    6.89
1984 06 06    6.80
1984 06 07    7.04
1984 06 08    7.48
1984 06 09    7.11
1984 06 10    7.36
1984 06 11    7.30
1984 06 12    6.77
1984 06 13    7.66
1984 06 14    8.05
1984 06 15    7.46
1984 06 16    7.66
1984 06 17    6.97
1984 06 18    7.70
1984 06 19    8.32
1984 06 20    7.65
1984 06 21    7.02
1984 06 22    6.84
1984 06 23    7.88
1984 06 24    7.80
1984 06 25    7.67
1984 06 26    6.87
1984 06 27    7.04
1984 06 28    7.74
1984 06 29    7.38
1984 06 30    7.94
1984 07 01    8.37
1984 07 02    7.57
1984 07 03    6.85
1984 07 04    6.97
1984 07 05    7.81
1984 07 06    7.28
1984 07 07    7.17
1984 07 08    7.96
1984 07 09    7.50
1984 07 10    7.62
1984 07 11    7.67
1984 07 12    7.14
1984 07 13    6.87
1984 07 14    6.70
1984 07 15    7.18
1984 07 16    6.21
1984 07 17    6.87
1984 07 18    6.70
1984 07 19    7.58
1984 07 20    7.94
1984 07 21    7.09
1984 07 22    6.21
1984 07 23    7.00
1984 07 24    6.97
1984 07 25    6.37
1984 07 26    6.12
1984 07 27    5.88
1984 07 28    6.50
1984 07 29    7.76
1984 07 30    6.57
1984 07 31    8.24
1984 08 01    7.11
1984 08 02    7.71
1984 08 03    6.60
1984 08 04    7.36
1984 08 05    7.09
1984 08 06    6.90
1984 08 07    6.45
1984 08 08    6.54
1984 08 09    6.25
1984 08 10    6.89
1984 08 11    5.69
1984 08 12    6.76
1984 08 13    6.67
1984 08 14    7.20
1984 08 15    5.82
1984 08 16    6.61
1984 08 17    6.85
1984 08 18    6.55
1984 08 19    6.66
1984 08 20    6.28
1984 08 21    6.07
1984 08 22    6.61
1984 08 23    6.54
1984 08 24    5.92
1984 08 25    5.73
1984 08 26    6.52
1984 08 27    6.27
1984 08 28    5.68
1984 08 29    6.35
1984 08 30    6.39
1984 08 31    6.27
1984 09 01    6.52
1984 09 02    7.35
1984 09 03    6.44
1984 09 04    6.45
1984 09 05    6.19
1984 09 06    6.38
1984 09 07    6.21
1984 09 08    6.69
1984 09 09    6.15
1984 09 10    5.40
1984 09 11    5.59
1984 09 12    5.52
1984 09 13    5.34
1984 09 14    5.36
1984 09 15    6.15
1984 09 16    6.46
1984 09 17    6.14
1984 09 18    6.28
1984 09 19    5.82
1984 09 20    6.39
1984 09 21    6.47
1984 09 22    5.53
1984 09 23    5.70
1984 09 24    5.26
1984 09 25    5.98
1984 09 26    5.78
1984 09 27    4.97
1984 09 28    5.47
1984 09 29    5.50
1984 09 30    5.35
1984 10 01    5.67
1984 10 02    6.57
