NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 36.076   Longitude 49.627 Ghazvin, Takestan
Elevation (meters): Average for one degree lat/lon region = 1316   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1983 07 01    8.44
1983 07 02    7.77
1983 07 03    7.74
1983 07 04    7.05
1983 07 05    8.09
1983 07 06    7.74
1983 07 07    7.63
1983 07 08    6.60
1983 07 09    7.11
1983 07 10    7.04
1983 07 11    7.24
1983 07 12    8.08
1983 07 13    7.61
1983 07 14    7.82
1983 07 15    7.85
1983 07 16    7.60
1983 07 17    8.04
1983 07 18    7.64
1983 07 19    7.39
1983 07 20    6.10
1983 07 21    6.09
1983 07 22    6.01
1983 07 23    6.19
1983 07 24    6.32
1983 07 25    5.92
1983 07 26    5.68
1983 07 27    5.73
1983 07 28    6.32
1983 07 29    6.12
1983 07 30    5.30
1983 07 31    5.31
1983 08 01    5.81
1983 08 02    5.72
1983 08 03    5.51
1983 08 04    6.06
1983 08 05    4.79
1983 08 06    4.79
1983 08 07    5.38
1983 08 08    6.08
1983 08 09    6.11
1983 08 10    6.82
1983 08 11    6.87
1983 08 12    6.05
1983 08 13    6.33
1983 08 14    7.50
1983 08 15    6.82
1983 08 16    5.95
1983 08 17    4.46
1983 08 18    5.21
1983 08 19    4.87
1983 08 20    4.96
1983 08 21    5.62
1983 08 22    4.88
1983 08 23    4.30
1983 08 24    4.05
1983 08 25    4.66
1983 08 26    3.90
1983 08 27    4.20
1983 08 28    5.51
1983 08 29    3.95
1983 08 30    3.74
1983 08 31    4.25
1983 09 01    3.77
1983 09 02    6.17
1983 09 03    3.70
1983 09 04    4.51
1983 09 05    4.97
1983 09 06    4.20
1983 09 07    5.11
1983 09 08    4.98
1983 09 09    5.27
1983 09 10    3.45
1983 09 11    3.66
1983 09 12    4.41
1983 09 13    3.28
1983 09 14    3.08
1983 09 15    3.91
1983 09 16    4.93
1983 09 17    5.43
1983 09 18    4.93
1983 09 19    3.45
1983 09 20    4.18
1983 09 21    3.88
1983 09 22    4.28
1983 09 23    3.77
1983 09 24    4.57
1983 09 25    5.66
1983 09 26    3.86
1983 09 27    3.43
1983 09 28    3.86
1983 09 29    4.66
1983 09 30    4.18
1983 10 01    5.25
1983 10 02    4.41
1983 10 03    3.65
1983 10 04    4.56
1983 10 05    3.26
1983 10 06    2.51
1983 10 07    4.06
1983 10 08    4.92
1983 10 09    5.27
1983 10 10    4.85
1983 10 11    4.65
1983 10 12    3.10
1983 10 13    4.46
1983 10 14    3.92
1983 10 15    2.39
1983 10 16    2.69
1983 10 17    3.24
1983 10 18    3.25
1983 10 19    4.06
1983 10 20    4.20
1983 10 21    4.21
1983 10 22    3.89
1983 10 23    3.84
1983 10 24    3.02
1983 10 25    2.55
1983 10 26    2.88
1983 10 27    2.76
1983 10 28    3.28
1983 10 29    3.27
1983 10 30    2.64
1983 10 31    3.36
1983 11 01    4.15
1983 11 02    3.91
1983 11 03    3.76
1983 11 04    1.93
1983 11 05    3.45
1983 11 06    3.29
1983 11 07    2.71
1983 11 08    2.97
1983 11 09    3.17
1983 11 10    3.45
1983 11 11    3.16
1983 11 12    2.83
1983 11 13    2.56
1983 11 14    2.59
1983 11 15    1.92
1983 11 16    3.00
1983 11 17    2.47
1983 11 18    2.76
1983 11 19    2.25
1983 11 20    3.10
1983 11 21    2.10
1983 11 22    1.94
1983 11 23    2.52
1983 11 24    2.25
1983 11 25    0.84
1983 11 26    0.85
1983 11 27    1.69
1983 11 28    2.21
1983 11 29    1.14
1983 11 30    3.12
1983 12 01    3.34
1983 12 02    2.57
1983 12 03    1.67
1983 12 04    2.24
1983 12 05    2.13
1983 12 06    2.44
1983 12 07    1.71
1983 12 08    1.59
1983 12 09    2.25
1983 12 10    2.78
1983 12 11    1.35
1983 12 12    1.95
1983 12 13    3.00
1983 12 14    1.24
1983 12 15    1.86
1983 12 16    1.57
1983 12 17    1.57
1983 12 18    1.91
1983 12 19    2.05
1983 12 20    2.75
1983 12 21    2.79
1983 12 22    2.61
1983 12 23    2.71
1983 12 24    3.24
1983 12 25    3.36
1983 12 26    1.89
1983 12 27    1.94
1983 12 28    3.06
1983 12 29    3.07
1983 12 30    2.68
1983 12 31    3.19
1984 01 01    2.01
1984 01 02    2.71
1984 01 03    2.95
1984 01 04    3.42
1984 01 05    3.04
1984 01 06    3.37
1984 01 07    2.54
1984 01 08    2.19
1984 01 09    2.21
1984 01 10    1.99
1984 01 11    3.16
1984 01 12    3.14
1984 01 13    3.21
1984 01 14    1.53
1984 01 15    2.66
1984 01 16    1.16
1984 01 17    1.86
1984 01 18    3.46
1984 01 19    1.10
1984 01 20    3.49
1984 01 21    2.34
1984 01 22    3.23
1984 01 23    2.23
1984 01 24    3.66
1984 01 25    2.61
1984 01 26    3.70
1984 01 27    2.45
1984 01 28    1.09
1984 01 29    1.30
1984 01 30    1.41
1984 01 31    2.37
1984 02 01    3.05
1984 02 02    3.40
1984 02 03    2.98
1984 02 04    1.86
1984 02 05    2.37
1984 02 06    2.60
1984 02 07    2.04
1984 02 08    1.92
1984 02 09    3.01
1984 02 10    3.87
1984 02 11    3.88
1984 02 12    3.43
1984 02 13    2.69
1984 02 14    2.93
1984 02 15    4.17
1984 02 16    1.90
1984 02 17    2.81
1984 02 18    3.48
1984 02 19    4.34
1984 02 20    4.65
1984 02 21    4.16
1984 02 22    3.59
1984 02 23    2.20
1984 02 24    2.66
1984 02 25    4.45
1984 02 26    2.75
1984 02 27    2.48
1984 02 28    4.00
1984 02 29    4.64
1984 03 01    4.35
1984 03 02    2.84
1984 03 03    3.74
1984 03 04    3.17
1984 03 05    4.05
1984 03 06    3.36
1984 03 07    2.27
1984 03 08    2.27
1984 03 09    2.92
1984 03 10    2.50
1984 03 11    2.06
1984 03 12    3.68
1984 03 13    3.68
1984 03 14    2.50
1984 03 15    3.17
1984 03 16    2.70
1984 03 17    5.86
1984 03 18    2.59
1984 03 19    4.11
1984 03 20    3.94
1984 03 21    5.47
1984 03 22    2.97
1984 03 23    4.97
1984 03 24    2.87
1984 03 25    4.48
1984 03 26    2.39
1984 03 27    3.60
1984 03 28    5.65
1984 03 29    3.87
1984 03 30    4.58
1984 03 31    5.02
1984 04 01    6.18
1984 04 02    5.19
1984 04 03    4.62
1984 04 04    6.52
1984 04 05    4.82
1984 04 06    6.02
1984 04 07    5.44
1984 04 08    6.62
1984 04 09    5.29
1984 04 10    6.65
1984 04 11    3.70
1984 04 12    4.48
1984 04 13    7.58
1984 04 14    6.57
1984 04 15    3.99
1984 04 16    3.99
1984 04 17    5.82
1984 04 18    6.00
1984 04 19    5.34
1984 04 20    5.38
1984 04 21    4.21
1984 04 22    5.29
1984 04 23    2.80
1984 04 24    5.65
1984 04 25    5.43
1984 04 26    5.93
1984 04 27    5.96
1984 04 28    4.89
1984 04 29    3.42
1984 04 30    4.40
1984 05 01    3.82
1984 05 02    7.35
1984 05 03    4.91
1984 05 04    1.95
1984 05 05    2.36
1984 05 06    3.92
1984 05 07    5.38
1984 05 08    5.42
1984 05 09    4.62
1984 05 10    3.61
1984 05 11    4.42
1984 05 12    4.54
1984 05 13    5.20
1984 05 14    5.84
1984 05 15    5.24
1984 05 16    4.20
1984 05 17    6.01
1984 05 18    6.60
1984 05 19    4.32
1984 05 20    3.38
1984 05 21    4.11
1984 05 22    7.56
1984 05 23    8.25
1984 05 24    7.71
1984 05 25    5.53
1984 05 26    4.81
1984 05 27    5.28
1984 05 28    6.62
1984 05 29    6.36
1984 05 30    6.52
1984 05 31    5.53
1984 06 01    6.20
1984 06 02    5.98
1984 06 03    7.58
1984 06 04    6.62
1984 06 05    6.77
1984 06 06    6.39
1984 06 07    5.99
1984 06 08    8.44
1984 06 09    8.48
1984 06 10    8.62
1984 06 11    5.45
1984 06 12    5.68
1984 06 13    5.84
1984 06 14    7.34
1984 06 15    5.00
1984 06 16    6.65
1984 06 17    6.99
1984 06 18    6.78
1984 06 19    7.36
1984 06 20    6.57
1984 06 21    5.92
1984 06 22    5.55
1984 06 23    5.82
1984 06 24    6.66
1984 06 25    6.86
1984 06 26    7.04
1984 06 27    7.26
1984 06 28    7.76
1984 06 29    7.15
1984 06 30    6.92
1984 07 01    6.70
1984 07 02    6.95
1984 07 03    4.95
1984 07 04    6.92
1984 07 05    7.05
1984 07 06    7.64
1984 07 07    7.35
1984 07 08    7.41
1984 07 09    7.66
1984 07 10    7.55
1984 07 11    7.46
1984 07 12    6.52
1984 07 13    6.52
1984 07 14    7.39
1984 07 15    6.95
1984 07 16    6.65
1984 07 17    6.96
1984 07 18    7.48
1984 07 19    7.27
1984 07 20    8.08
1984 07 21    7.64
1984 07 22    7.21
1984 07 23    6.75
1984 07 24    6.44
1984 07 25    5.93
1984 07 26    4.58
1984 07 27    5.78
1984 07 28    5.87
1984 07 29    6.07
1984 07 30    6.21
1984 07 31    6.55
1984 08 01    5.49
1984 08 02    5.17
1984 08 03    4.52
1984 08 04    5.26
1984 08 05    6.56
1984 08 06    5.48
1984 08 07    5.76
1984 08 08    5.27
1984 08 09    4.22
1984 08 10    4.36
1984 08 11    3.71
1984 08 12    3.93
1984 08 13    5.73
1984 08 14    6.06
1984 08 15    5.83
1984 08 16    6.65
1984 08 17    6.03
1984 08 18    6.28
1984 08 19    6.13
1984 08 20    6.57
1984 08 21    6.24
1984 08 22    6.76
1984 08 23    6.48
1984 08 24    5.64
1984 08 25    5.17
1984 08 26    5.69
1984 08 27    5.93
1984 08 28    5.97
1984 08 29    4.03
1984 08 30    3.89
1984 08 31    3.98
1984 09 01    5.33
1984 09 02    5.62
1984 09 03    5.27
1984 09 04    3.99
1984 09 05    3.97
1984 09 06    5.38
1984 09 07    4.73
1984 09 08    4.75
1984 09 09    4.04
1984 09 10    5.26
1984 09 11    5.92
1984 09 12    5.20
1984 09 13    5.91
1984 09 14    5.52
1984 09 15    4.47
1984 09 16    4.30
1984 09 17    4.30
1984 09 18    4.43
1984 09 19    4.53
1984 09 20    4.66
1984 09 21    4.30
1984 09 22    5.56
1984 09 23    5.64
1984 09 24    5.66
1984 09 25    4.90
1984 09 26    5.11
1984 09 27    5.03
1984 09 28    5.23
1984 09 29    4.98
1984 09 30    4.35
1984 10 01    4.53
1984 10 02    4.95
1984 10 03    4.94
1984 10 04    4.55
1984 10 05    4.08
1984 10 06    3.53
1984 10 07    2.91
1984 10 08    4.74
1984 10 09    4.53
1984 10 10    3.73
1984 10 11    4.11
1984 10 12    3.57
1984 10 13    4.24
1984 10 14    4.47
1984 10 15    2.75
1984 10 16    2.92
1984 10 17    2.50
1984 10 18    1.97
1984 10 19    1.86
1984 10 20    2.20
1984 10 21    4.30
1984 10 22    4.15
1984 10 23    4.07
1984 10 24    3.99
1984 10 25    3.90
1984 10 26    3.84
1984 10 27    3.32
1984 10 28    2.92
1984 10 29    2.85
1984 10 30    2.73
1984 10 31    2.19
1984 11 01    1.37
1984 11 02    2.47
1984 11 03    1.87
1984 11 04    2.60
1984 11 05    2.41
1984 11 06    3.26
1984 11 07    2.78
1984 11 08    3.11
1984 11 09    2.71
1984 11 10    3.46
1984 11 11    1.73
1984 11 12    2.20
1984 11 13    1.77
1984 11 14    1.11
1984 11 15    1.25
1984 11 16    1.64
1984 11 17    1.17
1984 11 18    1.30
1984 11 19    1.51
1984 11 20    2.56
1984 11 21    3.03
1984 11 22    1.86
1984 11 23    2.23
1984 11 24    1.61
1984 11 25    1.54
1984 11 26    3.53
1984 11 27    2.76
1984 11 28    2.41
1984 11 29    0.82
1984 11 30    0.95
1984 12 01    1.62
1984 12 02    1.03
1984 12 03    1.09
1984 12 04    1.28
1984 12 05    1.13
1984 12 06    1.05
1984 12 07    1.90
1984 12 08    1.97
1984 12 09    2.00
1984 12 10    1.83
1984 12 11    2.24
1984 12 12    2.14
1984 12 13    1.45
1984 12 14    1.43
1984 12 15    2.21
1984 12 16    2.75
1984 12 17    1.80
1984 12 18    1.56
1984 12 19    1.57
1984 12 20    1.40
1984 12 21    1.54
1984 12 22    2.56
1984 12 23    2.95
1984 12 24    1.33
1984 12 25    1.86
1984 12 26    1.73
1984 12 27    1.77
1984 12 28    1.86
1984 12 29    2.11
1984 12 30    3.21
1984 12 31    2.77
1985 01 01    2.57
1985 01 02    0.89
1985 01 03    2.24
1985 01 04    2.74
1985 01 05    2.24
1985 01 06    2.75
1985 01 07    2.48
1985 01 08    1.91
1985 01 09    2.76
1985 01 10    1.91
1985 01 11    2.67
1985 01 12    2.38
1985 01 13    1.46
1985 01 14    2.33
1985 01 15    2.48
1985 01 16    1.40
1985 01 17    1.58
1985 01 18    2.33
1985 01 19    2.72
1985 01 20    2.93
1985 01 21    2.84
1985 01 22    1.96
1985 01 23    1.81
1985 01 24    3.39
1985 01 25    3.76
1985 01 26    3.84
1985 01 27    3.40
1985 01 28    2.82
1985 01 29    2.17
1985 01 30    2.42
1985 01 31    2.48
1985 02 01    1.20
1985 02 02    2.86
1985 02 03    1.68
1985 02 04    2.92
1985 02 05    2.72
1985 02 06    3.44
1985 02 07    3.73
1985 02 08    3.75
1985 02 09    2.25
1985 02 10    4.06
1985 02 11    3.88
1985 02 12    4.27
1985 02 13    4.36
1985 02 14    4.46
1985 02 15    3.91
1985 02 16    1.61
1985 02 17    2.90
1985 02 18    1.45
1985 02 19    3.01
1985 02 20    2.53
1985 02 21    1.65
1985 02 22    4.35
1985 02 23    4.61
1985 02 24    2.72
1985 02 25    1.38
1985 02 26    2.12
1985 02 27    2.61
1985 02 28    4.79
1985 03 01    3.47
1985 03 02    3.55
1985 03 03    3.00
1985 03 04    3.32
1985 03 05    4.65
1985 03 06    4.96
1985 03 07    2.39
1985 03 08    2.85
1985 03 09    3.95
1985 03 10    3.32
1985 03 11    4.11
1985 03 12    4.51
1985 03 13    4.71
1985 03 14    4.05
1985 03 15    5.96
1985 03 16    5.35
1985 03 17    2.80
1985 03 18    3.50
1985 03 19    1.69
1985 03 20    5.92
1985 03 21    5.43
1985 03 22    5.07
1985 03 23    4.01
1985 03 24    3.82
1985 03 25    4.38
1985 03 26    2.75
1985 03 27    2.62
1985 03 28    5.48
1985 03 29    2.31
1985 03 30    3.97
1985 03 31    3.36
1985 04 01    4.87
1985 04 02    2.46
1985 04 03    5.25
1985 04 04    4.79
1985 04 05    4.53
1985 04 06    2.80
1985 04 07    6.03
1985 04 08    7.35
1985 04 09    3.98
1985 04 10    4.90
1985 04 11    4.74
1985 04 12    6.74
1985 04 13    5.76
1985 04 14    6.43
1985 04 15    4.21
1985 04 16    3.98
1985 04 17    4.08
1985 04 18    6.35
1985 04 19    7.82
1985 04 20    7.52
1985 04 21    2.76
1985 04 22    4.73
1985 04 23    3.62
1985 04 24    4.71
1985 04 25    6.91
1985 04 26    4.34
1985 04 27    3.08
1985 04 28    4.73
1985 04 29    4.79
1985 04 30    7.53
1985 05 01    6.88
1985 05 02    6.32
1985 05 03    4.86
1985 05 04    8.19
1985 05 05    7.83
1985 05 06    6.31
1985 05 07    7.15
1985 05 08    7.34
1985 05 09    6.45
1985 05 10    5.56
1985 05 11    7.19
1985 05 12    7.24
1985 05 13    7.31
1985 05 14    7.89
1985 05 15    4.98
1985 05 16    5.91
1985 05 17    5.56
1985 05 18    7.09
1985 05 19    5.70
1985 05 20    4.62
1985 05 21    7.49
1985 05 22    3.80
1985 05 23    7.23
1985 05 24    5.88
1985 05 25    7.63
1985 05 26    5.08
1985 05 27    7.42
1985 05 28    8.11
1985 05 29    8.24
1985 05 30    7.16
1985 05 31    7.65
1985 06 01    6.98
1985 06 02    7.37
1985 06 03    7.30
1985 06 04    6.76
1985 06 05    7.28
1985 06 06    7.22
1985 06 07    6.51
1985 06 08    7.44
1985 06 09    6.72
1985 06 10    6.61
1985 06 11    6.07
1985 06 12    7.96
1985 06 13    6.69
1985 06 14    5.34
1985 06 15    4.77
1985 06 16    5.40
1985 06 17    7.34
1985 06 18    7.19
1985 06 19    7.60
1985 06 20    7.11
1985 06 21    6.29
1985 06 22    7.00
1985 06 23    7.96
1985 06 24    6.48
1985 06 25    7.25
1985 06 26    7.29
1985 06 27    6.31
1985 06 28    5.65
1985 06 29    7.57
1985 06 30    7.98
1985 07 01    5.44
1985 07 02    6.95
1985 07 03    5.92
1985 07 04    6.34
1985 07 05    7.27
1985 07 06    6.55
1985 07 07    7.08
1985 07 08    6.84
1985 07 09    6.94
1985 07 10    6.95
1985 07 11    7.09
1985 07 12    7.03
1985 07 13    6.67
1985 07 14    5.62
1985 07 15    6.40
1985 07 16    6.70
1985 07 17    5.79
1985 07 18    6.99
1985 07 19    5.95
1985 07 20    6.50
1985 07 21    6.61
1985 07 22    6.54
1985 07 23    7.11
1985 07 24    7.41
1985 07 25    5.98
1985 07 26    6.00
1985 07 27    6.53
1985 07 28    5.82
1985 07 29    5.94
1985 07 30    6.26
1985 07 31    5.56
1985 08 01    6.18
1985 08 02    6.47
1985 08 03    6.28
1985 08 04    7.36
1985 08 05    6.74
1985 08 06    7.94
1985 08 07    5.83
1985 08 08    6.08
1985 08 09    7.01
1985 08 10    6.84
1985 08 11    7.31
1985 08 12    7.59
1985 08 13    7.13
1985 08 14    7.30
1985 08 15    7.24
1985 08 16    5.90
1985 08 17    5.85
1985 08 18    5.42
1985 08 19    6.74
1985 08 20    7.09
1985 08 21    5.74
1985 08 22    6.13
1985 08 23    5.17
1985 08 24    4.60
1985 08 25    4.26
