NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 34.593   Longitude 51.051, Qom, Navaran
Elevation (meters): Average for one degree lat/lon region = 1370   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1983 07 01    6.95
1983 07 02    7.53
1983 07 03    7.23
1983 07 04    7.61
1983 07 05    7.52
1983 07 06    7.56
1983 07 07    7.50
1983 07 08    7.48
1983 07 09    7.00
1983 07 10    6.49
1983 07 11    7.57
1983 07 12    6.54
1983 07 13    7.22
1983 07 14    7.52
1983 07 15    7.31
1983 07 16    7.41
1983 07 17    7.21
1983 07 18    6.02
1983 07 19    7.33
1983 07 20    7.32
1983 07 21    7.25
1983 07 22    7.11
1983 07 23    7.17
1983 07 24    6.83
1983 07 25    6.99
1983 07 26    6.84
1983 07 27    7.69
1983 07 28    6.84
1983 07 29    6.81
1983 07 30    6.58
1983 07 31    6.66
1983 08 01    6.74
1983 08 02    6.86
1983 08 03    7.63
1983 08 04    6.98
1983 08 05    6.21
1983 08 06    6.68
1983 08 07    7.23
1983 08 08    6.94
1983 08 09    6.78
1983 08 10    6.71
1983 08 11    6.21
1983 08 12    6.71
1983 08 13    6.00
1983 08 14    6.55
1983 08 15    7.10
1983 08 16    5.90
1983 08 17    6.50
1983 08 18    5.97
1983 08 19    5.78
1983 08 20    5.94
1983 08 21    6.60
1983 08 22    6.56
1983 08 23    6.34
1983 08 24    5.99
1983 08 25    5.92
1983 08 26    5.90
1983 08 27    5.55
1983 08 28    6.32
1983 08 29    5.84
1983 08 30    5.97
1983 08 31    6.05
1983 09 01    5.96
1983 09 02    5.67
1983 09 03    5.51
1983 09 04    5.66
1983 09 05    5.99
1983 09 06    5.54
1983 09 07    5.39
1983 09 08    5.56
1983 09 09    5.58
1983 09 10    5.35
1983 09 11    5.28
1983 09 12    5.02
1983 09 13    5.13
1983 09 14    5.17
1983 09 15    4.78
1983 09 16    5.67
1983 09 17    4.95
1983 09 18    5.48
1983 09 19    4.91
1983 09 20    4.65
1983 09 21    5.13
1983 09 22    4.63
1983 09 23    4.28
1983 09 24    5.27
1983 09 25    5.32
1983 09 26    4.82
1983 09 27    5.39
1983 09 28    4.76
1983 09 29    4.72
1983 09 30    4.51
1983 10 01    5.22
